lastname,firstname,nickname,role_type,senator_rank,state,party,is_republican,gender,is_male,age
Blunt,Roy,,senator,junior,MO,Republican,True,male,True,63.78
Boozman,John,,senator,junior,AR,Republican,True,male,True,62.87
Burr,Richard,,senator,senior,NC,Republican,True,male,True,57.9
Isakson,John,Johnny,senator,junior,GA,Republican,True,male,True,68.82
Kirk,Mark,,senator,junior,IL,Republican,True,male,True,54.11
Moran,Jerry,,senator,junior,KS,Republican,True,male,True,59.4
Portman,Robert,Rob,senator,junior,OH,Republican,True,male,True,57.85
Toomey,Patrick,Pat,senator,junior,PA,Republican,True,male,True,51.93
Udall,Mark,,senator,senior,CO,Democrat,False,male,True,63.27
Udall,Tom,,senator,senior,NM,Democrat,False,male,True,65.43
Vitter,David,,senator,junior,LA,Republican,True,male,True,52.47
Alexander,Lamar,,senator,senior,TN,Republican,True,male,True,73.31
Baucus,Max,,senator,senior,MT,Democrat,False,male,True,71.87
Boxer,Barbara,,senator,junior,CA,Democrat,False,female,False,72.95
Chambliss,Saxby,,senator,senior,GA,Republican,True,male,True,69.95
Cochran,Thad,,senator,senior,MS,Republican,True,male,True,75.88
Collins,Susan,,senator,senior,ME,Republican,True,female,False,60.88
Cornyn,John,,senator,senior,TX,Republican,True,male,True,61.72
Crapo,Michael,,senator,senior,ID,Republican,True,male,True,62.43
Durbin,Richard,,senator,senior,IL,Democrat,False,male,True,68.92
Enzi,Michael,,senator,senior,WY,Republican,True,male,True,69.72
Graham,Lindsey,,senator,senior,SC,Republican,True,male,True,58.29
Grassley,Charles,Chuck,senator,senior,IA,Republican,True,male,True,80.1
Harkin,Thomas,Tom,senator,junior,IA,Democrat,False,male,True,73.93
Inhofe,James,Jim,senator,senior,OK,Republican,True,male,True,78.93
Schatz,Brian,,senator,senior,HI,Democrat,False,male,True,41.01
Johnson,Tim,,senator,senior,SD,Democrat,False,male,True,66.82
Landrieu,Mary,,senator,senior,LA,Democrat,False,female,False,57.92
Leahy,Patrick,,senator,senior,VT,Democrat,False,male,True,73.56
Levin,Carl,,senator,senior,MI,Democrat,False,male,True,79.32
McCain,John,,senator,senior,AZ,Republican,True,male,True,77.15
McConnell,Mitch,,senator,senior,KY,Republican,True,male,True,71.67
Mikulski,Barbara,,senator,senior,MD,Democrat,False,female,False,77.26
Murkowski,Lisa,,senator,senior,AK,Republican,True,female,False,56.42
Murray,Patty,,senator,senior,WA,Democrat,False,female,False,63.03
Pryor,Mark,,senator,senior,AR,Democrat,False,male,True,50.78
Reed,John,Jack,senator,senior,RI,Democrat,False,male,True,63.95
Reid,Harry,,senator,senior,NV,Democrat,False,male,True,73.89
Roberts,Pat,,senator,senior,KS,Republican,True,male,True,77.51
Rockefeller,John,Jay,senator,senior,WV,Democrat,False,male,True,76.35
Schumer,Charles,,senator,senior,NY,Democrat,False,male,True,62.92
Sessions,Jefferson,Jeff,senator,junior,AL,Republican,True,male,True,66.83
Shelby,Richard,,senator,senior,AL,Republican,True,male,True,79.47
Wyden,Ron,,senator,senior,OR,Democrat,False,male,True,64.47
Thune,John,,senator,junior,SD,Republican,True,male,True,52.79
Coburn,Thomas,,senator,junior,OK,Republican,True,male,True,65.61
Coats,Daniel,,senator,senior,IN,Republican,True,male,True,70.44
Johanns,Mike,,senator,senior,NE,Republican,True,male,True,63.35
Warner,Mark,,senator,senior,VA,Democrat,False,male,True,58.86
Risch,James,,senator,junior,ID,Republican,True,male,True,70.48
Shaheen,Jeanne,,senator,senior,NH,Democrat,False,female,False,66.74
Hagan,Kay,,senator,junior,NC,Democrat,False,female,False,60.41
Merkley,Jeff,,senator,junior,OR,Democrat,False,male,True,57.0
Begich,Mark,,senator,junior,AK,Democrat,False,male,True,51.57
Bennet,Michael,,senator,junior,CO,Democrat,False,male,True,48.9
Franken,Alan,Al,senator,junior,MN,Democrat,False,male,True,62.43
Coons,Chris,,senator,junior,DE,Democrat,False,male,True,50.12
Blumenthal,Richard,,senator,senior,CT,Democrat,False,male,True,67.69
Rubio,Marco,,senator,junior,FL,Republican,True,male,True,42.41
Paul,Rand,,senator,junior,KY,Republican,True,male,True,50.79
Ayotte,Kelly,,senator,junior,NH,Republican,True,female,False,45.32
Hoeven,John,,senator,senior,ND,Republican,True,male,True,56.61
Lee,Mike,,senator,junior,UT,Republican,True,male,True,42.39
Johnson,Ron,,senator,senior,WI,Republican,True,male,True,58.54
Wicker,Roger,,senator,junior,MS,Republican,True,male,True,62.3
Duncan,John,Jimmy,representative,,TN,Republican,True,male,True,66.26
Pocan,Mark,,representative,,WI,Democrat,False,male,True,49.19
Heck,Denny,,representative,,WA,Democrat,False,male,True,61.23
Kilmer,Derek,,representative,,WA,Democrat,False,male,True,39.81
Kaine,Timothy,,senator,junior,VA,Democrat,False,male,True,55.66
Stewart,Chris,,representative,,UT,Republican,True,male,True,53.27
Vela,Filemon,,representative,,TX,Democrat,False,male,True,50.69
Veasey,Marc,,representative,,TX,Democrat,False,male,True,42.8
Williams,Roger,,representative,,TX,Republican,True,male,True,64.11
Gallego,Pete,,representative,,TX,Democrat,False,male,True,51.89
Castro,Joaquin,,representative,,TX,Democrat,False,male,True,39.1
O'Rourke,Beto,,representative,,TX,Democrat,False,male,True,41.07
Weber,Randy,,representative,,TX,Republican,True,male,True,60.31
Cruz,Ted,,senator,junior,TX,Republican,True,male,True,42.84
Rice,Tom,,representative,,SC,Republican,True,male,True,56.22
Cartwright,Matthew,,representative,,PA,Democrat,False,male,True,52.48
Rothfus,Keith,,representative,,PA,Republican,True,male,True,51.5
Perry,Scott,,representative,,PA,Republican,True,male,True,51.41
Mullin,Markwayne,,representative,,OK,Republican,True,male,True,36.24
Bridenstine,Jim,,representative,,OK,Republican,True,male,True,38.36
Joyce,David,,representative,,OH,Republican,True,male,True,56.6
Beatty,Joyce,,representative,,OH,Democrat,False,female,False,63.62
Wenstrup,Brad,,representative,,OH,Republican,True,male,True,55.35
Collins,Chris,,representative,,NY,Republican,True,male,True,63.43
Maloney,Sean,,representative,,NY,Democrat,False,male,True,47.23
Jeffries,Hakeem,,representative,,NY,Democrat,False,male,True,43.22
Meng,Grace,,representative,,NY,Democrat,False,female,False,38.06
Horsford,Steven,,representative,,NV,Democrat,False,male,True,40.48
Lujan Grisham,Michelle,,representative,,NM,Democrat,False,female,False,54.0
Kuster,Ann,,representative,,NH,Democrat,False,female,False,57.13
Fischer,Deb,,senator,junior,NE,Republican,True,female,False,62.65
Cramer,Kevin,,representative,,ND,Republican,True,male,True,52.75
Heitkamp,Heidi,,senator,junior,ND,Democrat,False,female,False,57.98
Holding,George,,representative,,NC,Republican,True,male,True,45.52
Meadows,Mark,,representative,,NC,Republican,True,male,True,54.24
Pittenger,Robert,,representative,,NC,Republican,True,male,True,65.19
Hudson,Richard,,representative,,NC,Republican,True,male,True,41.97
Daines,Steve,,representative,,MT,Republican,True,male,True,51.18
Wagner,Ann,,representative,,MO,Republican,True,female,False,51.11
Bentivolio,Kerry,,representative,,MI,Republican,True,male,True,62.05
Kildee,Daniel,,representative,,MI,Democrat,False,male,True,55.2
King,Angus,,senator,junior,ME,Independent,False,male,True,69.56
Delaney,John,,representative,,MD,Democrat,False,male,True,50.52
Kennedy,Joseph,,representative,,MA,Democrat,False,male,True,33.05
Warren,Elizabeth,,senator,senior,MA,Democrat,False,female,False,64.34
Barr,Garland,Andy,representative,,KY,Republican,True,male,True,40.25
Messer,Luke,,representative,,IN,Republican,True,male,True,44.65
Brooks,Susan,,representative,,IN,Republican,True,female,False,53.16
Walorski,Jackie,,representative,,IN,Republican,True,female,False,50.18
Bustos,Cheri,,representative,,IL,Democrat,False,female,False,52.02
Davis,Rodney,,representative,,IL,Republican,True,male,True,43.8
Enyart,William,,representative,,IL,Democrat,False,male,True,64.08
Schneider,Bradley,,representative,,IL,Democrat,False,male,True,52.18
Duckworth,Tammy,,representative,,IL,Democrat,False,female,False,45.62
Gabbard,Tulsi,,representative,,HI,Democrat,False,female,False,32.53
Collins,Doug,,representative,,GA,Republican,True,male,True,47.19
Garcia,Joe,,representative,,FL,Democrat,False,male,True,50.01
Frankel,Lois,,representative,,FL,Democrat,False,female,False,65.44
Radel,Trey,,representative,,FL,Republican,True,male,True,37.51
Murphy,Patrick,,representative,,FL,Democrat,False,male,True,30.57
DeSantis,Ron,,representative,,FL,Republican,True,male,True,35.11
Yoho,Ted,,representative,,FL,Republican,True,male,True,58.53
Esty,Elizabeth,,representative,,CT,Democrat,False,female,False,54.16
Peters,Scott,,representative,,CA,Democrat,False,male,True,55.35
Vargas,Juan,,representative,,CA,Democrat,False,male,True,52.63
Lowenthal,Alan,,representative,,CA,Democrat,False,male,True,72.63
Takano,Mark,,representative,,CA,Democrat,False,male,True,52.87
Ruiz,Raul,,representative,,CA,Democrat,False,male,True,41.16
Negrete McLeod,Gloria,,representative,,CA,Democrat,False,female,False,72.13
Cárdenas,Tony,,representative,,CA,Democrat,False,male,True,50.57
Brownley,Julia,,representative,,CA,Democrat,False,female,False,61.15
Valadao,David,,representative,,CA,Republican,True,male,True,36.53
Swalwell,Eric,,representative,,CA,Democrat,False,male,True,32.93
Cook,Paul,,representative,,CA,Republican,True,male,True,70.64
Bera,Ami,,representative,,CA,Democrat,False,male,True,48.64
Huffman,Jared,,representative,,CA,Democrat,False,male,True,49.68
LaMalfa,Doug,,representative,,CA,Republican,True,male,True,53.31
Sinema,Kyrsten,,representative,,AZ,Democrat,False,female,False,37.28
Cotton,Tom,,representative,,AR,Republican,True,male,True,36.45
Payne,Donald,,representative,,NJ,Democrat,False,male,True,54.85
DelBene,Suzan,,representative,,WA,Democrat,False,female,False,51.68
Massie,Thomas,,representative,,KY,Republican,True,male,True,42.78
Barber,Ron,,representative,,AZ,Democrat,False,male,True,68.16
Bonamici,Suzanne,,representative,,OR,Democrat,False,female,False,59.03
Amodei,Mark,,representative,,NV,Republican,True,male,True,55.36
Hahn,Janice,,representative,,CA,Democrat,False,female,False,61.57
Ribble,Reid,,representative,,WI,Republican,True,male,True,57.55
Duffy,Sean,,representative,,WI,Republican,True,male,True,42.06
McKinley,David,,representative,,WV,Republican,True,male,True,66.57
Herrera Beutler,Jaime,,representative,,WA,Republican,True,female,False,34.97
Griffith,H.,,representative,,VA,Republican,True,male,True,55.61
Hurt,Robert,,representative,,VA,Republican,True,male,True,44.35
Rigell,E.,,representative,,VA,Republican,True,male,True,53.4
Farenthold,Blake,,representative,,TX,Republican,True,male,True,51.86
Flores,Bill,,representative,,TX,Republican,True,male,True,59.66
Fincher,Stephen,,representative,,TN,Republican,True,male,True,40.71
Black,Diane,,representative,,TN,Republican,True,female,False,62.77
DesJarlais,Scott,,representative,,TN,Republican,True,male,True,49.67
Fleischmann,Charles,Chuck,representative,,TN,Republican,True,male,True,51.03
Noem,Kristi,,representative,,SD,Republican,True,female,False,41.9
Mulvaney,Mick,,representative,,SC,Republican,True,male,True,46.26
Gowdy,Trey,,representative,,SC,Republican,True,male,True,49.17
Duncan,Jeff,,representative,,SC,Republican,True,male,True,47.79
Scott,Tim,,senator,junior,SC,Republican,True,male,True,48.09
Cicilline,David,,representative,,RI,Democrat,False,male,True,52.27
Barletta,Lou,,representative,,PA,Republican,True,male,True,57.74
