person__lastname,person__firstname,person__nickname,state,party,person__gender,person__birthday,role_type,senator_rank
LoBiondo,Frank,,NJ,Republican,male,1946-05-12,representative,
Lewis,John,,GA,Democrat,male,1940-02-21,representative,
Levin,Sander,,MI,Democrat,male,1931-09-06,representative,
Jackson Lee,Sheila,,TX,Democrat,female,1950-01-12,representative,
Lee,Barbara,,CA,Democrat,female,1946-07-16,representative,
Latham,Tom,,IA,Republican,male,1948-07-14,representative,
Larson,John,,CT,Democrat,male,1948-07-22,representative,
Larsen,Rick,,WA,Democrat,male,1965-06-15,representative,
Langevin,James,Jim,RI,Democrat,male,1964-04-22,representative,
Kline,John,,MN,Republican,male,1947-09-06,representative,
Kingston,Jack,,GA,Republican,male,1955-04-24,representative,
King,Peter,Pete,NY,Republican,male,1944-04-05,representative,
King,Steve,,IA,Republican,male,1949-05-28,representative,
Kind,Ron,,WI,Democrat,male,1963-03-16,representative,
Kaptur,Marcy,,OH,Democrat,female,1946-06-17,representative,
Jones,Walter,,NC,Republican,male,1943-02-10,representative,
Johnson,Eddie,,TX,Democrat,female,1935-12-03,representative,
Johnson,Sam,,TX,Republican,male,1930-10-11,representative,
Issa,Darrell,,CA,Republican,male,1953-11-01,representative,
Israel,Steve,,NY,Democrat,male,1958-05-30,representative,
Hoyer,Steny,,MD,Democrat,male,1939-06-14,representative,
Honda,Michael,Mike,CA,Democrat,male,1941-06-27,representative,
Holt,Rush,,NJ,Democrat,male,1948-10-15,representative,
Hinojosa,Rubén,,TX,Democrat,male,1940-08-20,representative,
Hensarling,Jeb,,TX,Republican,male,1957-05-29,representative,
Hastings,Doc,,WA,Republican,male,1941-02-07,representative,
Hastings,Alcee,,FL,Democrat,male,1936-09-05,representative,
Hall,Ralph,,TX,Republican,male,1923-05-03,representative,
Gutiérrez,Luis,,IL,Democrat,male,1953-12-10,representative,
Grijalva,Raúl,,AZ,Democrat,male,1948-02-19,representative,
Green,Gene,,TX,Democrat,male,1947-10-17,representative,
Graves,Sam,,MO,Republican,male,1963-11-07,representative,
Granger,Kay,,TX,Republican,female,1943-01-18,representative,
Goodlatte,Bob,,VA,Republican,male,1952-09-22,representative,
Gingrey,Phil,,GA,Republican,male,1942-07-10,representative,
Gerlach,Jim,,PA,Republican,male,1955-02-25,representative,
Garrett,Scott,,NJ,Republican,male,1959-07-09,representative,
Frelinghuysen,Rodney,,NJ,Republican,male,1946-04-29,representative,
Franks,Trent,,AZ,Republican,male,1957-06-19,representative,
Forbes,J.,,VA,Republican,male,1952-02-17,representative,
Flake,Jeff,,AZ,Republican,male,1962-12-31,senator,junior
Fattah,Chaka,,PA,Democrat,male,1956-11-21,representative,
Farr,Sam,,CA,Democrat,male,1941-07-04,representative,
Faleomavaega,Eni,,AS,Democrat,male,1943-08-15,representative,
Eshoo,Anna,,CA,Democrat,female,1942-12-13,representative,
Engel,Eliot,,NY,Democrat,male,1947-02-18,representative,
Doyle,Michael,Mike,PA,Democrat,male,1953-08-05,representative,
Doggett,Lloyd,,TX,Democrat,male,1946-10-06,representative,
Dingell,John,,MI,Democrat,male,1926-07-08,representative,
Diaz-Balart,Mario,,FL,Republican,male,1961-09-25,representative,
DeLauro,Rosa,,CT,Democrat,female,1943-03-02,representative,
DeGette,Diana,,CO,Democrat,female,1957-07-29,representative,
DeFazio,Peter,,OR,Democrat,male,1947-05-27,representative,
Davis,Danny,,IL,Democrat,male,1941-09-06,representative,
Davis,Susan,,CA,Democrat,female,1944-04-13,representative,
Cummings,Elijah,,MD,Democrat,male,1951-01-18,representative,
Culberson,John,,TX,Republican,male,1956-08-24,representative,
Crowley,Joseph,,NY,Democrat,male,1962-03-16,representative,
Crenshaw,Ander,,FL,Republican,male,1944-09-01,representative,
Cooper,Jim,,TN,Democrat,male,1954-06-19,representative,
Conyers,John,,MI,Democrat,male,1929-05-16,representative,
Cole,Tom,,OK,Republican,male,1949-04-28,representative,
Coble,Howard,,NC,Republican,male,1931-03-18,representative,
Clyburn,James,Jim,SC,Democrat,male,1940-07-21,representative,
Clay,Wm.,,MO,Democrat,male,1956-07-27,representative,
Christensen,Donna,,VI,Democrat,female,1945-09-19,representative,
Chabot,Steve,,OH,Republican,male,1953-01-22,representative,
Carter,John,,TX,Republican,male,1941-11-06,representative,
Cardin,Benjamin,,MD,Democrat,male,1943-10-05,senator,junior
Capuano,Michael,,MA,Democrat,male,1952-01-09,representative,
Capps,Lois,,CA,Democrat,female,1938-01-10,representative,
Capito,Shelley,,WV,Republican,female,1953-11-26,representative,
Cantor,Eric,,VA,Republican,male,1963-06-06,representative,
Camp,Dave,,MI,Republican,male,1953-07-09,representative,
Calvert,Ken,,CA,Republican,male,1953-06-08,representative,
Burgess,Michael,,TX,Republican,male,1950-12-23,representative,
Brown,Sherrod,,OH,Democrat,male,1952-11-09,senator,senior
Brown,Corrine,,FL,Democrat,female,1946-11-11,representative,
Brady,Kevin,,TX,Republican,male,1955-04-11,representative,
Brady,Robert,,PA,Democrat,male,1945-04-07,representative,
Bordallo,Madeleine,,GU,Democrat,female,1933-05-31,representative,
Boehner,John,,OH,Republican,male,1949-11-17,representative,
Blumenauer,Earl,,OR,Democrat,male,1948-08-16,representative,
Blackburn,Marsha,,TN,Republican,female,1952-06-06,representative,
Bishop,Rob,,UT,Republican,male,1951-07-13,representative,
Bishop,Timothy,,NY,Democrat,male,1950-06-01,representative,
Bishop,Sanford,,GA,Democrat,male,1947-02-04,representative,
Becerra,Xavier,,CA,Democrat,male,1958-01-26,representative,
Barton,Joe,,TX,Republican,male,1949-09-15,representative,
Baldwin,Tammy,,WI,Democrat,female,1962-02-11,senator,junior
Bachus,Spencer,,AL,Republican,male,1947-12-28,representative,
Andrews,Robert,Rob,NJ,Democrat,male,1957-08-04,representative,
Aderholt,Robert,,AL,Republican,male,1965-07-22,representative,
Kelly,Robin,,IL,Democrat,female,1956-04-30,representative,
Sanford,Marshall,Mark,SC,Republican,male,1960-05-28,representative,
Smith,Jason,,MO,Republican,male,1980-06-16,representative,
Chiesa,Jeffrey,,NJ,Republican,male,1965-06-22,senator,junior
Markey,Edward,Ed,MA,Democrat,male,1946-07-11,senator,junior
