person__lastname,person__firstname,person__nickname,state,party,person__gender,person__birthday,role_type,senator_rank
Heitkamp,Heidi,,ND,Democrat,female,1955-10-30,senator,junior
Holding,George,,NC,Republican,male,1968-04-17,representative,
Meadows,Mark,,NC,Republican,male,1959-07-28,representative,
Pittenger,Robert,,NC,Republican,male,1948-08-15,representative,
Hudson,Richard,,NC,Republican,male,1971-11-04,representative,
Daines,Steve,,MT,Republican,male,1962-08-20,representative,
Wagner,Ann,,MO,Republican,female,1962-09-13,representative,
Bentivolio,Kerry,,MI,Republican,male,1951-10-06,representative,
Kildee,Daniel,,MI,Democrat,male,1958-08-11,representative,
King,Angus,,ME,Independent,male,1944-03-31,senator,junior
Delaney,John,,MD,Democrat,male,1963-04-16,representative,
Kennedy,Joseph,,MA,Democrat,male,1980-10-04,representative,
Warren,Elizabeth,,MA,Democrat,female,1949-06-22,senator,senior
Barr,Garland,Andy,KY,Republican,male,1973-07-24,representative,
Messer,Luke,,IN,Republican,male,1969-02-27,representative,
Brooks,Susan,,IN,Republican,female,1960-08-25,representative,
Walorski,Jackie,,IN,Republican,female,1963-08-17,representative,
Bustos,Cheri,,IL,Democrat,female,1961-10-17,representative,
Davis,Rodney,,IL,Republican,male,1970-01-05,representative,
Enyart,William,,IL,Democrat,male,1949-09-22,representative,
Schneider,Bradley,,IL,Democrat,male,1961-08-20,representative,
Duckworth,Tammy,,IL,Democrat,female,1968-03-12,representative,
Gabbard,Tulsi,,HI,Democrat,female,1981-04-12,representative,
Collins,Doug,,GA,Republican,male,1966-08-16,representative,
Garcia,Joe,,FL,Democrat,male,1963-10-19,representative,
Frankel,Lois,,FL,Democrat,female,1948-05-16,representative,
Radel,Trey,,FL,Republican,male,1976-04-20,representative,
Murphy,Patrick,,FL,Democrat,male,1983-03-30,representative,
DeSantis,Ron,,FL,Republican,male,1978-09-14,representative,
Yoho,Ted,,FL,Republican,male,1955-04-13,representative,
Esty,Elizabeth,,CT,Democrat,female,1959-08-25,representative,
Peters,Scott,,CA,Democrat,male,1958-06-17,representative,
Vargas,Juan,,CA,Democrat,male,1961-03-07,representative,
Lowenthal,Alan,,CA,Democrat,male,1941-03-08,representative,
Takano,Mark,,CA,Democrat,male,1960-12-10,representative,
Ruiz,Raul,,CA,Democrat,male,1972-08-25,representative,
Negrete McLeod,Gloria,,CA,Democrat,female,1941-09-06,representative,
Cárdenas,Tony,,CA,Democrat,male,1963-03-31,representative,
Brownley,Julia,,CA,Democrat,female,1952-08-28,representative,
Valadao,David,,CA,Republican,male,1977-04-14,representative,
Swalwell,Eric,,CA,Democrat,male,1980-11-16,representative,
Cook,Paul,,CA,Republican,male,1943-03-03,representative,
Bera,Ami,,CA,Democrat,male,1965-03-02,representative,
Huffman,Jared,,CA,Democrat,male,1964-02-18,representative,
LaMalfa,Doug,,CA,Republican,male,1960-07-02,representative,
Sinema,Kyrsten,,AZ,Democrat,female,1976-07-12,representative,
Cotton,Tom,,AR,Republican,male,1977-05-13,representative,
Payne,Donald,,NJ,Democrat,male,1958-12-17,representative,
DelBene,Suzan,,WA,Democrat,female,1962-02-17,representative,
Massie,Thomas,,KY,Republican,male,1971-01-13,representative,
Barber,Ron,,AZ,Democrat,male,1945-08-25,representative,
Bonamici,Suzanne,,OR,Democrat,female,1954-10-14,representative,
Amodei,Mark,,NV,Republican,male,1958-06-12,representative,
Hahn,Janice,,CA,Democrat,female,1952-03-30,representative,
Ribble,Reid,,WI,Republican,male,1956-04-05,representative,
Duffy,Sean,,WI,Republican,male,1971-10-03,representative,
McKinley,David,,WV,Republican,male,1947-03-28,representative,
Herrera Beutler,Jaime,,WA,Republican,female,1978-11-03,representative,
Griffith,H.,,VA,Republican,male,1958-03-15,representative,
Hurt,Robert,,VA,Republican,male,1969-06-16,representative,
Rigell,E.,,VA,Republican,male,1960-05-28,representative,
Farenthold,Blake,,TX,Republican,male,1961-12-12,representative,
Flores,Bill,,TX,Republican,male,1954-02-25,representative,
Fincher,Stephen,,TN,Republican,male,1973-02-07,representative,
Black,Diane,,TN,Republican,female,1951-01-16,representative,
DesJarlais,Scott,,TN,Republican,male,1964-02-21,representative,
Fleischmann,Charles,Chuck,TN,Republican,male,1962-10-11,representative,
Noem,Kristi,,SD,Republican,female,1971-11-30,representative,
Mulvaney,Mick,,SC,Republican,male,1967-07-21,representative,
Gowdy,Trey,,SC,Republican,male,1964-08-22,representative,
